player,Goals,Total_xG,Avg_xG_per_Shot,Shot_Count,G_minus_xG,Aerial_Duels_Won,Aerial_Duels_Total,Aerial_Pass_Wins,Total_Aerial_Wins,Finishing_Percentile,Aerial_Percentile,Smart_Scout_Score
Gue-Sung Cho,2,0.71258904,0.08907363,8,1.2874109599999999,0,0,16,16,0.8933333333333333,0.9866666666666667,0.94
Olivier Giroud,4,3.0359552720000003,0.17858560423529413,17,0.9640447279999997,0,0,18,18,0.8533333333333334,1.0,0.9266666666666667
Youssef En-Nesyri,2,1.045874203,0.09507947299999998,11,0.9541257970000001,0,0,15,15,0.84,0.9666666666666667,0.9033333333333333
Julián Álvarez,4,1.908327433,0.1734843120909091,11,2.091672567,3,0,3,6,0.9866666666666667,0.7866666666666666,0.8866666666666667
Bruno Petković,1,0.09977819,0.09977819,1,0.90022181,2,0,12,14,0.8133333333333334,0.9333333333333333,0.8733333333333333
Lionel Andrés Messi Cuccittini,9,7.598649225,0.2234896830882353,34,1.401350775,1,0,5,6,0.9466666666666667,0.7866666666666666,0.8666666666666667
Mitchell Thomas Duke,1,0.254732119,0.03639030271428571,7,0.745267881,0,0,14,14,0.76,0.9333333333333333,0.8466666666666667
Saleh Khalid Al Shehri,1,0.147030338,0.04901011266666667,3,0.852969662,1,0,7,8,0.8,0.8266666666666667,0.8133333333333334
Jean-Eric Maxim Choupo-Moting,1,0.5235422875,0.17451409583333333,3,0.4764577125,0,0,13,13,0.68,0.9066666666666666,0.7933333333333333
Mohammed Kudus,2,0.658570808,0.082321351,8,1.341429192,2,0,1,3,0.92,0.6,0.76
Mehdi Taremi,2,1.37814372,0.22969061999999998,6,0.62185628,0,0,6,6,0.72,0.7866666666666666,0.7533333333333333
Enner Remberto Valencia Lastra,3,1.9245922759999998,0.21384358622222222,9,1.0754077240000002,1,0,2,3,0.88,0.6,0.74
Aleksandar Mitrović,2,1.501642214,0.15016422140000002,10,0.4983577859999999,0,0,6,6,0.6933333333333334,0.7866666666666666,0.74
Álvaro Borja Morata Martín,3,1.109480678,0.13868508475,8,1.890519322,1,0,1,2,0.9733333333333334,0.44666666666666666,0.71
Vincent Paté Aboubakar,2,0.5289856239999999,0.08816427066666666,6,1.471014376,0,0,2,2,0.96,0.44666666666666666,0.7033333333333334
Randal Kolo Muani,2,2.050369225,0.410073845,5,-0.05036922499999985,3,0,7,10,0.48,0.88,0.6799999999999999
Gonçalo Matias Ramos,3,1.671089706,0.23872710085714285,7,1.328910294,0,0,2,2,0.9066666666666666,0.44666666666666666,0.6766666666666666
Ferrán Torres García,2,1.005212115,0.25130302875,4,0.994787885,1,0,1,2,0.8666666666666667,0.44666666666666666,0.6566666666666667
Niclas Füllkrug,2,1.688675085,0.211084385625,8,0.3113249149999999,0,0,5,5,0.5733333333333334,0.7266666666666667,0.65
Haji Wright,1,0.658172932,0.09402470457142857,7,0.34182706799999996,0,0,4,4,0.6133333333333333,0.68,0.6466666666666667
Alphonso Davies,1,0.928688898,0.2321722245,4,0.07131110200000002,1,0,4,5,0.5466666666666666,0.7266666666666667,0.6366666666666667
Marcus Thuram,0,0.115658596,0.115658596,1,-0.115658596,0,0,9,9,0.41333333333333333,0.8533333333333334,0.6333333333333333
Luuk de Jong,1,0.8364073399999999,0.41820366999999997,2,0.16359266000000006,1,0,3,4,0.56,0.68,0.6200000000000001
Kylian Mbappé Lottin,9,5.016751877,0.15677349615625,32,3.983248123,0,0,1,1,1.0,0.24,0.62
Famara Diedhiou,1,0.238120196,0.07937339866666666,3,0.761879804,0,0,2,2,0.7733333333333333,0.44666666666666666,0.61
Boulaye Dia,1,0.662240351,0.082780043875,8,0.337759649,0,0,3,3,0.6,0.6,0.6
Joel Nathaniel Campbell Samuels,0,0.051288527,0.051288527,1,-0.051288527,1,0,4,5,0.4666666666666667,0.7266666666666667,0.5966666666666667
Richarlison de Andrade,3,1.617659122,0.20220739025,8,1.382340878,0,0,1,1,0.9333333333333333,0.24,0.5866666666666667
Firas Tariq Nasser Al Albirakan,0,0.124001969,0.0620009845,2,-0.124001969,0,0,6,6,0.38666666666666666,0.7866666666666666,0.5866666666666667
Michael Steveen Estrada Martínez,0,0.246376532,0.08212551066666667,3,-0.246376532,1,0,8,9,0.30666666666666664,0.8533333333333334,0.5800000000000001
Harry Kane,2,2.330979943,0.19424832858333332,12,-0.330979943,2,0,12,14,0.21333333333333335,0.9333333333333333,0.5733333333333334
Daizen Maeda,1,0.53585137,0.267925685,2,0.46414862999999995,0,0,2,2,0.6666666666666666,0.44666666666666666,0.5566666666666666
Andrej Kramarić,2,1.087257213,0.1087257213,10,0.912742787,0,0,1,1,0.8266666666666667,0.24,0.5333333333333333
Henry Josué Martín Mex,1,0.6686734,0.16716835,4,0.3313266,0,0,2,2,0.5866666666666667,0.44666666666666666,0.5166666666666666
Kai Havertz,2,1.155300964,0.2310601928,5,0.844699036,1,0,0,1,0.7866666666666666,0.24,0.5133333333333333
Ante Budimir,0,0.10111922,0.10111922,1,-0.10111922,0,0,3,3,0.4266666666666667,0.6,0.5133333333333333
Kieffer Roberto Francisco Moore,0,0.6403291090000001,0.10672151816666668,6,-0.6403291090000001,0,0,12,12,0.12,0.8933333333333333,0.5066666666666666
Robert Lewandowski,2,3.125917802,0.2604931501666667,12,-1.125917802,2,0,13,15,0.04,0.9666666666666667,0.5033333333333333
Takuma Asano,2,1.279548737,0.14217208188888888,9,0.720451263,0,0,1,1,0.7466666666666667,0.24,0.49333333333333335
Andreas Evald Cornelius,0,0.8015078649999999,0.16030157299999997,5,-0.8015078649999999,0,0,9,9,0.09333333333333334,0.8533333333333334,0.4733333333333334
Cheikh Ahmadou Bamba Mbacke Dieng,1,0.3838931,0.095973275,4,0.6161069,0,0,1,1,0.7066666666666667,0.24,0.47333333333333333
Breel-Donald Embolo,2,2.391196598,0.39853276633333334,6,-0.39119659800000006,1,0,4,5,0.17333333333333334,0.7266666666666667,0.45
Zakaria Aboukhlal,1,0.5970794660000001,0.1990264886666667,3,0.40292053399999994,0,0,1,1,0.6533333333333333,0.24,0.44666666666666666
Giovanni Reyna,0,0.08602206000000001,0.043011030000000006,2,-0.08602206000000001,0,0,2,2,0.44,0.44666666666666666,0.44333333333333336
Marco Asensio Willemsen,1,0.608190739,0.0608190739,10,0.391809261,0,0,1,1,0.64,0.24,0.44
Michy Batshuayi Tunga,1,0.620673121,0.10344552016666668,6,0.37932687899999995,0,0,1,1,0.6266666666666667,0.24,0.43333333333333335
Iñaki Williams Arthuer,0,0.126027007,0.0630135035,2,-0.126027007,0,0,2,2,0.37333333333333335,0.44666666666666666,0.41000000000000003
Luis Alberto Suárez Díaz,0,0.361762436,0.180881218,2,-0.361762436,0,0,3,3,0.2,0.6,0.4
Wahbi Khazri,1,0.297766004,0.0595532008,5,0.702233996,0,0,0,0,0.7333333333333333,0.06666666666666667,0.39999999999999997
Memphis Depay,1,1.181855992,0.1181855992,10,-0.18185599200000002,0,0,2,2,0.3466666666666667,0.44666666666666666,0.39666666666666667
Abderrazak Hamdallah,0,0.542996504,0.271498252,2,-0.542996504,0,0,3,3,0.14666666666666667,0.6,0.3733333333333333
Walid Cheddira,0,0.249388745,0.1246943725,2,-0.249388745,0,0,2,2,0.29333333333333333,0.44666666666666666,0.37
Marko Livaja,1,1.773984791,0.2534263987142857,7,-0.773984791,1,0,2,3,0.10666666666666667,0.6,0.35333333333333333
Lautaro Javier Martínez,1,2.905046753,0.19366978353333333,15,-1.9050467530000001,0,0,4,4,0.013333333333333334,0.68,0.3466666666666667
Karim Ansarifard,0,0.06399969,0.06399969,1,-0.06399969,0,0,1,1,0.4533333333333333,0.24,0.3466666666666667
Ui-Jo Hwang,0,0.323128,0.323128,1,-0.323128,0,0,2,2,0.24,0.44666666666666666,0.3433333333333333
Cristiano Ronaldo dos Santos Aveiro,1,1.939259267,0.176296297,11,-0.939259267,0,0,3,3,0.06666666666666667,0.6,0.3333333333333333
Sardar Azmoun,0,0.960581323,0.1921162646,5,-0.960581323,0,0,3,3,0.05333333333333334,0.6,0.32666666666666666
Antoine Semenyo,0,0.12024433,0.12024433,1,-0.12024433,0,0,1,1,0.4,0.24,0.32
Kevin José Rodríguez Cortez,0,0.13848205,0.13848205,1,-0.13848205,0,0,1,1,0.36,0.24,0.3
Taha Yassine Khenissi,0,0.012915949,0.012915949,1,-0.012915949,0,0,0,0,0.5333333333333333,0.06666666666666667,0.3
Noah Okafor,0,0.032096077,0.032096077,1,-0.032096077,0,0,0,0,0.52,0.06666666666666667,0.29333333333333333
Issam Jebali,0,0.5930872340000001,0.1976957446666667,3,-0.5930872340000001,1,0,1,2,0.13333333333333333,0.44666666666666666,0.29
Jewison Bennette,0,0.037811525,0.037811525,1,-0.037811525,0,0,0,0,0.5066666666666667,0.06666666666666667,0.2866666666666667
Martin Braithwaite Christensen,0,0.23786028,0.23786028,1,-0.23786028,0,0,1,1,0.32,0.24,0.28
Abdulrahman Al-Obood,0,0.041744728,0.041744728,1,-0.041744728,0,0,0,0,0.49333333333333335,0.06666666666666667,0.28
Jonathan David,0,0.8128135049999999,0.10160168812499999,8,-0.8128135049999999,0,0,2,2,0.08,0.44666666666666666,0.2633333333333333
Gabriel Fernando de Jesus,0,0.323986363,0.1619931815,2,-0.323986363,1,0,0,1,0.22666666666666666,0.24,0.23333333333333334
Joshua Sargent,0,0.362028482,0.0905071205,4,-0.362028482,0,0,1,1,0.18666666666666668,0.24,0.21333333333333332
Kasper Dolberg,0,0.511986249,0.12799656225,4,-0.511986249,0,0,1,1,0.16,0.24,0.2
Pedro Guilherme Abreu dos Santos,1,1.215663274,0.2431326548,5,-0.21566327399999996,0,0,0,0,0.3333333333333333,0.06666666666666667,0.19999999999999998
Cyle Larin,0,0.249796684,0.08326556133333333,3,-0.249796684,0,0,0,0,0.28,0.06666666666666667,0.17333333333333334
Thomas Müller,0,0.270048914,0.09001630466666666,3,-0.270048914,0,0,0,0,0.26666666666666666,0.06666666666666667,0.16666666666666666
Haris Seferović,0,0.27028984,0.27028984,1,-0.27028984,0,0,0,0,0.25333333333333335,0.06666666666666667,0.16
Romelu Lukaku Menama,0,1.68415473,0.33683094599999996,5,-1.68415473,0,0,1,1,0.02666666666666667,0.24,0.13333333333333333
